Prospect Id,First Name,Last Name,Email,Company,Last Activity Date,Campaign,Score,Grade,Job Title,Department,Country,City,Source,Industry,Do Not Email,Created Date,Owner,Lifecycle Stage,Created by Marketing
4033039,Julia,Robins,jrobins@example.com,The Robins and Morton Group,01/01/2022,Partner Collabs,882,B+,Senior Vice President-Operations,Operations,USA,Toms River,Marketing Event,Media,,01/09/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4032705,Caleb,Little,caleb.little@example.com,Lind-Ebert,01/01/2022,AdWords,879,C-,Services Manager,Services,Germany,Berlin,,Real Estate,,01/09/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4033199,Ron,Reid,ronreid@example.com,"Marvin, McGlynn and Kozey",01/01/2022,Website,871,B,Demand Generation Manager,Marketing,Canada,Ottawa,,Hospitality,,01/09/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4033337,Mary,Conners,mconners@example.com,"Storage Solutions, Inc.",01/01/2022,AdWords,860,B,VP Sales,Sales,USA,Riverside,Marketing Event,Consulting,,01/09/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4033025,Jim,Thompson,jim.thompson@example.com,Plum Creek Manufacturing LP,01/01/2022,Social Media Marketing,851,B,VP of Operations,Marketing,USA,Hyattsville,linkedin,Insurance,,01/09/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4033249,Clement,Schroeder,clement.schroeder@example.com,Adams Ltd,01/01/2022,Product Launch - 2021,851,C-,Sales Director,Sales,United States,Kansas City,,Real Estate,,01/09/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,FALSE
4032775,Tom,Samsonite,deepanker@example.com,Zieme-Wiza,01/01/2022,Referral Program,848,C-,Product Marketing Director,Marketing,Canada,Winnipeg,,Construction,,01/09/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4032761,Brad,Anastasio,banastasio@example.com,Tech Labs,01/01/2022,Referral Program,838,C+,"SVP, Sales",Sales,USA,San Francisco,Social Media,Education,,01/09/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4033015,John,Williams,jwilliams@example.com,"Gutkowski, Runolfsson and Waelchi",01/01/2022,Social Media Marketing,838,A,COO,Operations,Japan,Kōbe,Facebook,Transportation,,01/09/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
4032683,Larry,Larry,llarry@example.com,Rocky Mountain Log Homes,01/01/2022,AdWords,834,C+,CFO,Sales,USA,Atlanta,Cold Call,Banking,,01/09/2021,sarah.moore@lenoxsoft.com,5.) Closed Won,TRUE
